episode,image_idx,beta_pred,score_before,score_after,reward
0,0,50.0,0.5488641858100891,0.5797302722930908,0.03086608648300171
1,1,-5.746133804321289,0.662956178188324,0.6646604537963867,0.0017042756080627441
2,2,50.0,0.5845009684562683,0.6004151701927185,0.015914201736450195
3,3,-16.642427444458008,0.6329731345176697,0.6402742862701416,0.007301151752471924
4,4,8.153003692626953,0.5601911544799805,0.5639572739601135,0.0037661194801330566
5,5,-34.9082145690918,0.5977012515068054,0.6472113132476807,0.049510061740875244
6,6,48.89577102661133,0.6230570673942566,0.6383755207061768,0.015318453311920166
7,7,50.0,0.37197357416152954,0.42769408226013184,0.055720508098602295
8,8,-21.083904266357422,0.7374604940414429,0.7432281374931335,0.005767643451690674
9,9,10.963083267211914,0.742642343044281,0.7440675497055054,0.0014252066612243652
